ts,ps_1_voltage,ps_2_voltage,ps_1_current,ps_2_current,ps_1_output_state,ps_2_output_state,ts,V,I
1775248229.6752653,5.123,167.29,1.31246,1.3125,ON,ON,1775248190.3985238,1.73550236,1.31236076
1775248230.6082957,3.146,167.91,1.31246,1.3125,ON,ON,1775248190.9526448,1.73426259,1.3122015
1775248231.224618,2.147,168.21,1.31246,1.3125,ON,ON,1775248191.4176068,1.73315227,1.31165886
1775248232.153626,0.942,168.29,1.31246,1.3125,ON,ON,1775248191.9704397,1.7308296,1.31159413
1775248232.779308,0.747,167.62,1.31246,1.3125,ON,ON,1775248192.435573,1.73041165,1.3122853
1775248233.710894,0.758,167.27,1.31246,1.3125,ON,ON,1775248192.9872622,1.72842681,1.312217
1775248234.334765,0.758,167.09,1.31246,1.3125,ON,ON,1775248193.4526396,1.72629952,1.31165767
1775248235.2613957,0.758,166.91,1.31246,1.3125,ON,ON,1775248194.005411,1.72400928,1.31159294
1775248235.8822389,0.758,166.82,1.31246,1.3125,ON,ON,1775248194.4702463,1.72397089,1.31232846
1775248236.8111002,0.758,166.76,1.31246,1.3125,ON,ON,1775248195.0230546,1.72048283,1.31213081
1775248237.4327052,0.758,166.71,1.31246,1.3125,ON,ON,1775248195.487954,1.71839631,1.31164932
1775248238.3644738,0.758,166.73,1.31246,1.3125,ON,ON,1775248196.0415578,1.71552873,1.31161928
1775248238.9862096,0.769,166.77,1.31246,1.3125,ON,ON,1775248196.5055938,1.71403384,1.46570683
1775248239.91705,0.769,166.78,1.31246,1.3125,ON,ON,1775248197.0598094,1.71649289,1.31197393
1775248240.540813,0.79,166.85,1.31246,1.3125,ON,ON,1775248197.5294917,1.71974385,1.31207573
1775248241.466901,0.801,166.9,1.31246,1.3125,ON,ON,1775248198.0837817,1.72044218,1.31176782
1775248242.0899749,0.812,166.96,1.31246,1.3125,ON,ON,1775248198.5479138,1.72049129,1.31160498
1775248243.0194192,0.79,166.43,1.31246,1.3125,ON,ON,1775248199.0998747,1.71953416,1.3123368
1775248243.6410103,0.812,163.26,1.3125,1.3125,ON,ON,1775248199.564107,1.71873641,1.31231165
1775248244.5684972,4.428,164.4,1.31246,1.3125,ON,ON,1775248200.1171844,1.7214663,1.31233084
1775248245.1967385,3.526,164.96,1.31246,1.3125,ON,ON,1775248200.5820458,1.72200537,1.31248534
1775248246.1232722,1.615,165.04,1.31248,1.3125,ON,ON,1775248201.135849,1.72097754,1.31198823
1775248246.747367,1.116,165.82,1.31246,1.3125,ON,ON,1775248201.6017835,1.72186279,1.31122649
1775248247.6762738,0.758,165.97,1.31246,1.3125,ON,ON,1775248202.1558783,1.72139204,1.31200743
1775248248.29732,0.747,166.03,1.31246,1.3125,ON,ON,1775248202.62063,1.72096324,1.31181693
1775248249.2847185,0.0,167.12,1.31246,1.3125,OFF,ON,1775248203.1737792,1.72091889,1.31115341
1775248249.8483396,0.0,167.35,0.01143,1.3125,OFF,ON,1775248203.6397758,1.72362113,1.31198943
